"Title: Population Distribution by Race/Ethnicity | KFF"
"Timeframe: 2009"
"Location","White","Black","Hispanic","Asian","American Indian/Alaska Native","Native Hawaiian/Other Pacific Islander","Multiple Races","Total",Footnotes
"United States","0.650","0.119","0.159","0.045","0.010","<.01","0.020","1.000","1"
"Alabama","0.683","0.256","0.032","0.011","0.010","N/A","0.013","1.000"
"Alaska","0.649","0.038","0.062","0.049","0.131","0.010","0.065","1.000"
"Arizona","0.573","0.035","0.307","0.025","0.039","<.01","0.019","1.000"
"Arkansas","0.751","0.152","0.060","0.011","0.010","<.01","0.019","1.000"
"California","0.414","0.057","0.372","0.124","<.01","<.01","0.026","1.000"
"Colorado","0.707","0.035","0.203","0.025","0.010","<.01","0.024","1.000"
"Connecticut","0.730","0.090","0.123","0.035","<.01","N/A","0.019","1.000"
"Delaware","0.676","0.200","0.072","0.032","<.01","N/A","0.018","1.000"
"District of Columbia","0.318","0.539","0.091","0.028","<.01","N/A","0.020","1.000"
"Florida","0.594","0.147","0.217","0.024","<.01","<.01","0.016","1.000"
"Georgia","0.576","0.292","0.083","0.030","<.01","<.01","0.016","1.000"
"Hawaii","0.238","0.017","0.089","0.369","<.01","0.085","0.202","1.000"
"Idaho","0.845","0.010","0.107","0.011","0.011","N/A","0.019","1.000"
"Illinois","0.644","0.141","0.154","0.044","<.01","N/A","0.015","1.000"
"Indiana","0.828","0.086","0.055","0.014","<.01","N/A","0.016","1.000"
"Iowa","0.901","0.022","0.044","0.016","<.01","N/A","0.015","1.000"
"Kansas","0.802","0.053","0.094","0.022","0.010","N/A","0.024","1.000"
"Kentucky","0.875","0.072","0.026","0.010","<.01","N/A","0.015","1.000"
"Louisiana","0.616","0.316","0.036","0.014","<.01","N/A","0.014","1.000"
"Maine","0.944","0.012","0.012","0.010","0.010","N/A","0.018","1.000"
"Maryland","0.568","0.284","0.073","0.051","<.01","N/A","0.022","1.000"
"Massachusetts","0.783","0.057","0.089","0.049","<.01","N/A","0.021","1.000"
"Michigan","0.775","0.136","0.042","0.024","0.010","N/A","0.018","1.000"
"Minnesota","0.849","0.043","0.043","0.037","0.010","N/A","0.018","1.000"
"Mississippi","0.587","0.367","0.022","0.010","0.010","N/A","0.011","1.000"
"Missouri","0.820","0.109","0.034","0.014","<.01","<.01","0.020","1.000"
"Montana","0.877","N/A","0.028","0.010","0.064","N/A","0.025","1.000"
"Nebraska","0.834","0.045","0.083","0.017","0.010","N/A","0.014","1.000"
"Nevada","0.557","0.074","0.266","0.065","0.011","0.010","0.024","1.000"
"New Hampshire","0.928","0.011","0.027","0.018","<.01","N/A","0.014","1.000"
"New Jersey","0.610","0.126","0.168","0.078","<.01","N/A","0.017","1.000"
"New Mexico","0.411","0.018","0.456","0.014","0.085","N/A","0.016","1.000"
"New York","0.597","0.145","0.169","0.070","<.01","<.01","0.018","1.000"
"North Carolina","0.669","0.206","0.076","0.020","0.010","N/A","0.019","1.000"
"North Dakota","0.891","0.010","0.019","0.010","0.058","N/A","0.015","1.000"
"Ohio","0.823","0.115","0.028","0.015","<.01","N/A","0.017","1.000"
"Oklahoma","0.710","0.069","0.081","0.016","0.059","N/A","0.064","1.000"
"Oregon","0.796","0.015","0.112","0.036","0.010","<.01","0.029","1.000"
"Pennsylvania","0.811","0.099","0.051","0.024","<.01","N/A","0.014","1.000"
"Rhode Island","0.779","0.049","0.121","0.029","<.01","N/A","0.020","1.000"
"South Carolina","0.651","0.276","0.045","0.013","<.01","N/A","0.013","1.000"
"South Dakota","0.853","0.013","0.024","0.010","0.081","N/A","0.021","1.000"
"Tennessee","0.767","0.161","0.041","0.014","<.01","N/A","0.015","1.000"
"Texas","0.466","0.110","0.371","0.036","<.01","<.01","0.014","1.000"
"Utah","0.811","0.010","0.123","0.021","0.010","0.010","0.017","1.000"
"Vermont","0.948","0.010","0.015","0.010","N/A","N/A","0.017","1.000"
"Virginia","0.664","0.188","0.072","0.051","<.01","N/A","0.023","1.000"
"Washington","0.746","0.032","0.103","0.066","0.012","<.01","0.037","1.000"
"West Virginia","0.937","0.029","0.011","0.010","<.01","N/A","0.016","1.000"
"Wisconsin","0.848","0.057","0.053","0.023","0.010","N/A","0.013","1.000"
"Wyoming","0.863","0.010","0.082","<.01","0.022","N/A","0.021","1.000"
"Puerto Rico","0.010","<.01","0.988","N/A","N/A","N/A","<.01","1.000"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic. "
""
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information. "
""
"Population numbers are rounded to the nearest 100."
""
"Data include the civilian noninstitutionalized population in the United States."

"Sources"
"KFF estimates based on the 2008-2022 American Community Survey, 1-Year Estimates."

"Definitions"
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."
""
"Persons of Hispanic origin may be of any race; all other racial/ethnic groups are non-Hispanic."


Footnotes
"1. US total excludes Puerto Rico."
